id,playlist_id,artist_id,album_id,name
0AaqnTmwpC17JPNKNzjvSI,73dEHN0uL7o077BqqJeZnt,5nE8CAd519jLpwMX2YgFMK,4vD7oQ99Nf1v4VqTkRGbxI,Craving You
4ZRrLHqzhGRXYj2qcB4s5S,6a9LmifQ1wmHqpyUKn6vCw,1mcTU81TzQhprhouKaTkpq,3Na85E6foBKxAeoAojX427,Tattoo - Remix with Camilo
0wt2PeQ8AeBlx6WbgoM97r,6a9LmifQ1wmHqpyUKn6vCw,1G89WXRVVAEjU4VIwgg6XD,4QnRBgWvHDjy8i1buxbHxh,Andan Diciendo
07L6tEZIfCX3GZAWCpGj0e,6a9LmifQ1wmHqpyUKn6vCw,7vXDAI8JwjW531ouMGbfcp,5NfpwctBSlT9eLTrYuC8Qq,22
59s0s39NFWScuHDbHytI14,6a9LmifQ1wmHqpyUKn6vCw,0vR2qb8m9WHeZ5ByCbimq2,4qecT0ZJrf35thz2WaEm6P,Indeciso
3ZG8N7aWw2meb6UrI5ZmnZ,6a9LmifQ1wmHqpyUKn6vCw,77ziqFxp5gaInVrF2lj4ht,3D1NZYi3GsenO5uWDFrRI6,Relación
1Ej96GIBCTvgH7tNX1r3qr,6a9LmifQ1wmHqpyUKn6vCw,77ziqFxp5gaInVrF2lj4ht,3TgOrQ3p23Af8zSsxK8fdX,Otro Trago
0xkFBYWj9hErOPP9hj3IeI,6a9LmifQ1wmHqpyUKn6vCw,0KBMnuWWdRmE0piCUybFxX,1R76g2eaCeTmxBjvnjqBIc,Doce
4jBpZsZ9qx3cZhoEfuKElF,6a9LmifQ1wmHqpyUKn6vCw,00XhexlJEXQstHimpZN910,1wFqv2q07zfETMmB1NMDyC,La Mentira - Remix
6sUVXCnDBYaHUrACW2oItT,0q43oYWJgEx1nxD9y8Y9Jn,30xVFd5hiy33d6mrczbNzZ,0BYyUeVlWPGaVJzrmmPZCB,Acentito Norteño
1eNjF024g2Cejli5aTO0eo,0q43oYWJgEx1nxD9y8Y9Jn,30xVFd5hiy33d6mrczbNzZ,0BYyUeVlWPGaVJzrmmPZCB,Eres Tú
7tQ24skemknA6PPh6gwFi1,0q43oYWJgEx1nxD9y8Y9Jn,1vrahybrKylgwkjhbmOz94,4JFLZE2lAjETtE7uvms4Fo,Mejores Amigos
607Pss8iLol7EYqy31S6Uf,0q43oYWJgEx1nxD9y8Y9Jn,30xVFd5hiy33d6mrczbNzZ,0BYyUeVlWPGaVJzrmmPZCB,Faltas Tú
1hsy09WbfLFq21OVS4FaMe,0q43oYWJgEx1nxD9y8Y9Jn,5Rj6rNR8zIlUUDCs1OyPmW,4Wd3wzu93MYl3sJPEvxLT8,4 Meses
4jrZI0XdexLjrHlBwLbhzL,0q43oYWJgEx1nxD9y8Y9Jn,5Rj6rNR8zIlUUDCs1OyPmW,4Wd3wzu93MYl3sJPEvxLT8,Te Olvidaré
0jT8Nl0shPS8115is0wD2Q,0q43oYWJgEx1nxD9y8Y9Jn,28gNT5KBp7IjEOQoevXf9N,6xS6mQz1fQZ6eZE654J15I,Favorito
2WAkGjiJDJToPvhLk7eubT,0q43oYWJgEx1nxD9y8Y9Jn,1G89WXRVVAEjU4VIwgg6XD,1CKNBmaZlEykmtliyZ9UUB,Vente Conmigo
6e9x0Bw1mQEM84tR403zl3,0q43oYWJgEx1nxD9y8Y9Jn,1G89WXRVVAEjU4VIwgg6XD,6tu0Ff3lJRlFva2xMh7zB3,Por Qué Te Vas
6QSu3mgC8kUYtEDoBBQcJG,0q43oYWJgEx1nxD9y8Y9Jn,5dbaLmK5SHLLg8Z4CcTJpX,0sjHYEx0vgbhUULHgJTFWs,Los Besos
17A6MT3U1YKYsYpn3tOEpA,0q43oYWJgEx1nxD9y8Y9Jn,5dbaLmK5SHLLg8Z4CcTJpX,2Cs0jR06nsyXtAIRwQq1hs,Los Consejos
0VKNy1fBPb3ZcMJE3v17VF,0q43oYWJgEx1nxD9y8Y9Jn,6ZZ2DeepA3GpoGU4KwqSlU,6dIOyfEblWiLaoRfJkNdLY,Te Estás Enamorando de Mí
7HCZWKJmHITV7Pt5YTQDcL,0q43oYWJgEx1nxD9y8Y9Jn,5dbaLmK5SHLLg8Z4CcTJpX,0w3QTlwt8mDWQfHW9c4CIz,Ya Para Qué
7BEPdOI0neT6p7PnLViqmH,0q43oYWJgEx1nxD9y8Y9Jn,5C4PDR4LnhZTbVnKWXuDKD,7skwkKwi2c3AZF5oBQDUY0,Bajo La Mesa
1fXKStjVOTmBEwjAnFSNkc,0q43oYWJgEx1nxD9y8Y9Jn,5C4PDR4LnhZTbVnKWXuDKD,7EpdDp3FoDcnS95f0wgSYb,Enamórate De Alguien Más
0u4N6w5lBw5xMrzJitRWUo,0q43oYWJgEx1nxD9y8Y9Jn,3MHaV05u0io8fQbZ2XPtlC,5zEFCJy9kAyD8rMbBESdYh,Corazón Sin Cara
3kP4gBaDZbTd2CEvroYsdf,0q43oYWJgEx1nxD9y8Y9Jn,72R3RMGmSmzG57R7OUaDaN,6Sh8psnbViG1oQjqoX00nd,Tengo un Amor
1VJvL7OC1CKskeKVdCjn3y,0q43oYWJgEx1nxD9y8Y9Jn,1T19oNolVnNcXU8pywjvhy,2dE3A9rIgQ3ILrVIJ54YQF,Rema
0SflP4WKvRfcVtIVFBO4y3,0q43oYWJgEx1nxD9y8Y9Jn,1T19oNolVnNcXU8pywjvhy,2d2gdLtNZxEzPmo9Evj6UL,Cada Quien A Lo Suyo
3fVWfUVZSdS0UvZWOpenu8,0q43oYWJgEx1nxD9y8Y9Jn,0KBMnuWWdRmE0piCUybFxX,7mhSA1Hj6AEI1NTu7Vpu2S,Al Natural
3bHzzuRc2vU97FhJ0ohSKf,0q43oYWJgEx1nxD9y8Y9Jn,3p7Bs02UWDt5ENoJeUGqaB,2nWSJnbDqmXFX88nV4IIj6,La Bella Y La Bestia
1wx6JALNy9KXwndVziEUKw,0q43oYWJgEx1nxD9y8Y9Jn,0Rrl4hJQjRAbGtiEwAqS5N,6mtlmSyayzI491l9RSX8DO,Usted Se Me Llevo la Vida
3ZHRiFQZaJXRvnhUt43pqO,0q43oYWJgEx1nxD9y8Y9Jn,0Rrl4hJQjRAbGtiEwAqS5N,0bJDginBxFe7sM7Vz8gAAQ,Amame
606BGgNdORMaaehXb7UKAH,0q43oYWJgEx1nxD9y8Y9Jn,66q4aUeE6L8715QQ2yD68G,14RDfrnyoORdiM33BxwEXi,Sigo Buscándote
3goI2lIgiZ9Z1wKNXUdLhQ,0q43oYWJgEx1nxD9y8Y9Jn,103xS8KmldMIFzgcD7FzhP,2fiRL4kZheNvGRMJjRUlb6,Aire al Respirar
1OPjoMHOagrjqR71Llrs8O,0q43oYWJgEx1nxD9y8Y9Jn,103xS8KmldMIFzgcD7FzhP,2fiRL4kZheNvGRMJjRUlb6,3 Notas
2lVhb15cc6wzmTlh2Zo1P3,0q43oYWJgEx1nxD9y8Y9Jn,103xS8KmldMIFzgcD7FzhP,2fiRL4kZheNvGRMJjRUlb6,SoloTu Amor
5nNp286pK1ybtydvp4RJC5,0q43oYWJgEx1nxD9y8Y9Jn,6HxyqkGDMKQmzp9OsI9e0Q,3VBIIzO0DBa5yVTU2TneYf,Me Lo Creí
1rgTPhfIsygO4HjDafOVzR,0q43oYWJgEx1nxD9y8Y9Jn,7A02nc5WKMBLqSKXxGZ4o8,0jXsX7bYf7FQE0CLGug86V,Como Antes
2v11X4UanY2QwADCbwFnPv,0q43oYWJgEx1nxD9y8Y9Jn,1jrfEx1kZc8BNPLQDC7kVR,1OR5KmIE6s5SzzCe9XYETZ,No Sé
06GNb7cUCN6YTQmzfFd2m1,0q43oYWJgEx1nxD9y8Y9Jn,1jrfEx1kZc8BNPLQDC7kVR,6Tm5rVXr3ofn5d5vK8U6ie,Alguien
5XR1WyZ0uOSHRNhP85QxT4,0q43oYWJgEx1nxD9y8Y9Jn,4kcnsS1aAB40FMcLD01gmI,6s7EnMQQbeyjkIlHRorgyj,La Mujer Perfecta
0mX9hZlqKqgU2AZfuxxhB0,0q43oYWJgEx1nxD9y8Y9Jn,7dZHvdnkTQTXQIFQAQTd05,2YjqSwvQI0oMAvtkNUKzbX,Sin Título
5bgpx8xg4bgkBpJr5JShjA,0q43oYWJgEx1nxD9y8Y9Jn,4KbGwakpU0tXAk0r105oaS,0aW0jczlWi5ZwvgGG2TUFu,Além do Arco Íris
5xsxaj8aZ82pJoornrzHgE,0q43oYWJgEx1nxD9y8Y9Jn,7dZHvdnkTQTXQIFQAQTd05,2OyVQvLQNzdGaFzz3qBH40,Ella Me Dice No
0xfmcMetmQwClfYRarKtyY,0q43oYWJgEx1nxD9y8Y9Jn,1mX1TWKpNxDSAH16LgDfiR,6ra5IJfLnuwbBm8NhxA2zX,Alguien Más
1cVlW9WQiGlFdWUXFdFZGh,1g39i6qmCo8XQgVpKqg1b6,4bw2Am3p9ji3mYsXNXtQcd,6NSiAkMa61CjJI9AHqOhuZ,Pa' Olvidarme De Ella
7vXEkYsoVzfd6UX554dwfH,1g39i6qmCo8XQgVpKqg1b6,1mX1TWKpNxDSAH16LgDfiR,6ra5IJfLnuwbBm8NhxA2zX,Aire
7x9aauaA9cu6tyfpHnqDLo,1g39i6qmCo8XQgVpKqg1b6,6HaGTQPmzraVmaVxvz6EUc,53985D8g3JcGBoULSOYYKX,Seven (feat. Latto)
4eHbdreAnSOrDDsFfc4Fpm,1g39i6qmCo8XQgVpKqg1b6,6XpaIBNiVzIetEPCWDvAFP,7JVJlkNNobS0GSoy4tCS96,I Will Always Love You
0wt2PeQ8AeBlx6WbgoM97r,1g39i6qmCo8XQgVpKqg1b6,1G89WXRVVAEjU4VIwgg6XD,4QnRBgWvHDjy8i1buxbHxh,Andan Diciendo
5b5cPscqVEMChvDqscVw26,1g39i6qmCo8XQgVpKqg1b6,6M2wZ9GZgrQXHCFfjv46we,1Mo92916G2mmG7ajpmSVrc,Training Season
